Country,1970,1980,1990,2000,2010,2020
United States,1073300,2862500,5963100,10252300,14992100,21060500
China,92603,191149,360858,1211347,6087164,14722731
Japan,212609,1105386,3132818,4887520,5700098,4975415
Germany,215022,924861,1714441,1943143,3399589,3846414
United Kingdom,130672,542885,1093169,1657816,2475244,2707744
India,63504,186325,320979,468395,1675615,2660245
Brazil,42328,235025,461952,655422,2208872,1444733
Canada,86303,268907,582748,742293,1617343,1645423
Australia,33985,150133,310782,415222,1142251,1327836
South Korea,8937,65389,270405,561633,1094499,1637896
